Gene_ID,Input_Reads_count_Normalized,Output_Reads_count_Normalized,P_Value,FC_IO,FC_OI
VCA0552,3383,2385,0.034974956,1.42,0.7048
VCA0941,10204,7195,0.028765421,1.42,0.7051
VC0058,9723,6876,0.00019175,1.41,0.7072
VC0180,13882,9855,0.23935816,1.41,0.7099
VC0352,18028,12811,0.056460069,1.41,0.7106
VC0429,16611,11802,0.117606098,1.41,0.7105
VC0716,16300,11542,0.26856748,1.41,0.7081
VC1049,17333,12292,0.075916438,1.41,0.7092
VC1115,13773,9773,0.303167242,1.41,0.7096
VC1146,9963,7044,0.015521153,1.41,0.7069
VC1277,12726,9007,0.003311664,1.41,0.7078
VC1374,8053,5727,0.260357909,1.41,0.7112
VC1453,7394,5260,0.358136445,1.41,0.7114
VC1799,11783,8369,0.027570216,1.41,0.7103
VC2238,16225,11486,0.13279224,1.41,0.7079
VC2459,12880,9160,0.002801386,1.41,0.7112
VC2729,9152,6480,0.214254749,1.41,0.7081
VCA0442,5003,3536,0.003301312,1.41,0.7068
VCA0675,5970,4246,0.032096025,1.41,0.7112
VCA0716,13958,9930,0.074168707,1.41,0.7114
VCA0729,5567,3938,0.040941075,1.41,0.7074
VCA0917,9774,6951,0.037590706,1.41,0.7112
VCA0920,7439,5262,0.012572071,1.41,0.7074
VCA0991,16552,11771,0.47266148,1.41,0.7111
VCA1009,16619,11749,0.038526363,1.41,0.7069
VC0867,11786,8397,0.026468346,1.4,0.7125
VC2084,10223,7317,0.029050327,1.4,0.7157
VCA0356,9400,6690,0.13829435,1.4,0.7118
VCA0847,12473,8881,0.357924731,1.4,0.712
VCA0900,14851,10594,0.517773215,1.4,0.7133
VC0029,48799,35039,0.109531516,1.39,0.718
VC0164,19819,14272,0.467943047,1.39,0.7201
VC0354,16533,11931,0.142796124,1.39,0.7216
VC0760,32461,23352,5.51377E-05,1.39,0.7194
VC1224,12784,9223,0.005449136,1.39,0.7215
VC1537,8925,6400,0.394136032,1.39,0.7172
VC2235,40399,29081,0.40895577,1.39,0.7198
VCA0585,9715,6997,0.027503429,1.39,0.7203
VC0010,9898,7164,0.05612886,1.38,0.7238
VC0199,27004,19535,0.026866734,1.38,0.7234
VC0523,8653,6258,0.092640683,1.38,0.7232
VC0605,7472,5406,0.030068463,1.38,0.7236
VC1744,8680,6270,0.022810871,1.38,0.7223
VC2507,17027,12350,0.093160252,1.38,0.7253
