Gene_ID,Input_Reads_count_Normalized,Output_Reads_count_Normalized,P_Value,FC_IO,FC_OI
VC1475,36850,32946,0.417409789,1.12,0.8941
VC1503,4254,3792,0.274460003,1.12,0.8912
VC1552,9734,8662,0.193254589,1.12,0.8898
VC1610,13103,11738,0.682312751,1.12,0.8959
VC1687,4136,3701,0.458666097,1.12,0.895
VC2551,22431,20091,0.072666233,1.12,0.8957
VCA0082,8925,7971,0.725595778,1.12,0.8931
VCA0139,7745,6904,0.859843299,1.12,0.8914
VCA1064,2505,2246,0.441873602,1.12,0.8967
VCA1110,15551,13856,0.21379696,1.12,0.891
VC0096,7853,7103,0.366607003,1.11,0.9045
VC0330,8920,8009,0.827484577,1.11,0.8979
VC0334,10668,9588,0.710304119,1.11,0.8987
VC0599,9649,8705,0.449363382,1.11,0.9022
VC0926,15843,14326,0.728061433,1.11,0.9042
VC1535,13274,11946,0.502597279,1.11,0.9
VC2163,15355,13883,0.491925825,1.11,0.9042
VC2535,13546,12191,0.038695364,1.11,0.9
VCA0188,8637,7747,0.48252822,1.11,0.897
VCA0286,5414,4861,0.389164825,1.11,0.8979
VCA0326,5944,5336,0.427547007,1.11,0.8977
VCA0402,8512,7635,0.087968818,1.11,0.897
VCA0815,11523,10392,0.516788912,1.11,0.9018
VC0035,20074,18208,0.903400007,1.1,0.907
VC0624,15374,13974,0.81811195,1.1,0.9089
VC0978,5735,5223,0.557850504,1.1,0.9108
VC0991,2930,2660,0.822024759,1.1,0.9078
VC1517,9080,8231,0.724894167,1.1,0.9065
VC1553,4990,4525,0.376903514,1.1,0.9068
VC1661,8784,7950,0.27132596,1.1,0.905
VC2524,11828,10748,0.197095449,1.1,0.9087
VCA0805,6810,6195,0.092630137,1.1,0.9097
VCA0974,8398,7633,0.868483653,1.1,0.9088
VC0091,18779,17293,0.706157692,1.09,0.9209
VC0153,12416,11391,0.53446104,1.09,0.9174
VC0220,11673,10679,0.933259926,1.09,0.9149
VC0400,9381,8576,0.409107071,1.09,0.9142
VC0502,13042,11937,0.392429537,1.09,0.9153
VC0526,11080,10165,0.267993831,1.09,0.9174
VC0783,10745,9829,1.44635E-07,1.09,0.9147
VC1239,13367,12301,0.267842676,1.09,0.9203
VC1559,11703,10720,0.639251625,1.09,0.916
VC2002,14983,13686,0.059285029,1.09,0.9134
VC2388,9573,8786,0.406040406,1.09,0.9179
VCA0074,5996,5483,0.015488297,1.09,0.9145
VCA0279,10777,9869,0.655925102,1.09,0.9157
VCA0367,6763,6220,0.034991803,1.09,0.9198
VCA0614,7439,6804,0.792894969,1.09,0.9147
VCA0699,12411,11389,0.819740068,1.09,0.9176
VC0066,12230,11354,0.692226608,1.08,0.9284
VC0069,13823,12781,0.619006153,1.08,0.9246
VC0422,16614,15367,0.268170818,1.08,0.9249
VC0541,42878,39642,0.14434447,1.08,0.9245
VC0709,26687,24707,0.469035127,1.08,0.9258
VC0764,9204,8491,0.530778974,1.08,0.9225
VC1121,13518,12505,0.542567412,1.08,0.9251
VC1129,10364,9587,0.615801641,1.08,0.925
VC1508,2216,2056,0.618405575,1.08,0.9279
VC2080,11156,10311,0.844320068,1.08,0.9243
VC2382,11924,11043,0.512518484,1.08,0.9262
VCA0266,12620,11689,0.249597775,1.08,0.9262
VCA0327,15539,14424,0.75373269,1.08,0.9283
VCA0536,8259,7643,0.560175493,1.08,0.9255
VCA0588,25230,23276,0.016412548,1.08,0.9226
VC0166,9364,8765,0.344594592,1.07,0.9361
VC1024,12057,11304,0.75270034,1.07,0.9376
VC1430,6215,5833,0.657376221,1.07,0.9385
VC1530,2572,2406,0.068867269,1.07,0.9356
VC2443,10518,9806,0.866985971,1.07,0.9323
VCA0142,13149,12276,0.758169858,1.07,0.9336
VCA0330,8344,7788,0.841558501,1.07,0.9333
VCA0396,5718,5344,0.586770617,1.07,0.9345
VCA0533,7877,7347,0.885997589,1.07,0.9327
VCA0623,9724,9050,0.312341553,1.07,0.9307
VCA0671,7651,7159,0.959814541,1.07,0.9356
VCA1082,8898,8352,0.718274435,1.07,0.9386
VC0453,19879,18805,0.56360448,1.06,0.946
VC0493,5586,5276,0.58132422,1.06,0.9445
VC0582,10016,9462,0.81822148,1.06,0.9446
VC0702,14673,13810,0.665640436,1.06,0.9412
VC1061,9903,9310,0.69008504,1.06,0.9401
VC1138,18518,17464,0.027741206,1.06,0.943
VC1302,3446,3251,0.219508581,1.06,0.9434
VC1691,10609,10018,0.668396141,1.06,0.9443
VC1798,6736,6367,0.791681249,1.06,0.9453
VC2075,10800,10182,0.650306437,1.06,0.9428
VC2205,2267,2142,0.265084928,1.06,0.9451
VC2666,9555,9030,0.330883059,1.06,0.9451
VCA0041,13522,12800,0.933010937,1.06,0.9466
VCA0222,15260,14345,0.497089977,1.06,0.94
VCA0641,8895,8387,0.238319619,1.06,0.9429
VCA0982,9040,8524,0.034902082,1.06,0.9429
VC0253,9477,9010,0.901712969,1.05,0.9507
VC0265,16987,16215,0.384303145,1.05,0.9545
VC0416,3753,3572,0.236100266,1.05,0.9518
VC0547,7452,7088,0.611825253,1.05,0.9512
VC1659,13292,12636,0.70828253,1.05,0.9506
VC2187,19276,18432,0.868523598,1.05,0.9562
VC2504,19985,18947,0.819302184,1.05,0.948
VC2641,19071,18081,0.000102046,1.05,0.9481
VC2696,17247,16499,0.930281245,1.05,0.9566
VC2705,23043,21998,0.455988467,1.05,0.9546
VCA0112,17164,16341,0.374763961,1.05,0.9521
VCA0299,7600,7267,0.039688926,1.05,0.9562
VCA0765,9026,8630,0.779490866,1.05,0.9561
VCA0843,7848,7488,0.500050035,1.05,0.9541
VCA0910,12000,11430,0.099764415,1.05,0.9525
VCA1031,13755,13146,0.835417235,1.05,0.9558
VC0586,4941,4749,0.568399211,1.04,0.961
VC0882,16861,16228,0.902694333,1.04,0.9624
VC1062,16425,15772,0.192251766,1.04,0.9603
VC1444,5616,5383,0.322284733,1.04,0.9584
VC1561,1744,1670,0.626181481,1.04,0.9576
VC2470,15720,15162,0.953923507,1.04,0.9646
VC2680,8004,7676,0.129677867,1.04,0.959
VC2735,23891,23065,0.701804983,1.04,0.9654
VCA0137,11937,11493,0.438001752,1.04,0.9628
VCA0213,8479,8176,0.937058945,1.04,0.9643
VCA0526,4039,3894,0.560232474,1.04,0.964
VCA0670,7001,6760,0.930399551,1.04,0.9657
VCA0866,11593,11192,0.623106518,1.04,0.9655
VCA0886,11044,10624,0.939203269,1.04,0.962
VC0162,14123,13756,0.608336327,1.03,0.974
VC0191,6989,6796,0.895747802,1.03,0.9724
VC0471,1671,1628,0.882886488,1.03,0.9744
VC0490,6898,6673,0.917099151,1.03,0.9673
VC1029,7420,7232,0.805686201,1.03,0.9747
VC1068,14348,13868,0.032654924,1.03,0.9665
VC1254,10205,9922,0.778996913,1.03,0.9723
VC1690,8805,8566,0.894434724,1.03,0.9728
VC1756,9457,9148,0.73410353,1.03,0.9673
VC2074,14880,14466,0.857179126,1.03,0.9721
VC2304,9208,8962,0.843853704,1.03,0.9732
VC2547,6952,6767,0.792994916,1.03,0.9734
VC2674,19451,18797,0.910241709,1.03,0.9664
VCA0030,20178,19625,0.324095651,1.03,0.9726
VCA0058,5585,5430,0.749119591,1.03,0.9722
VCA0314,3472,3382,0.809013747,1.03,0.9741
VC0044,34039,33319,0.207455361,1.02,0.9788
VC0465,24075,23500,0.969966558,1.02,0.9761
VC0928,6712,6593,0.118753308,1.02,0.9822
VC0985,17045,16710,0.915019983,1.02,0.9803
VC1069,12021,11810,0.000843896,1.02,0.9824
VC1469,28117,27617,0.847609304,1.02,0.9822
VC1471,90695,89108,0.886124751,1.02,0.9825
VC1524,11511,11324,0.965550635,1.02,0.9838
VCA0210,28197,27688,0.931542045,1.02,0.9819
VCA0825,5801,5704,0.689799055,1.02,0.9831
VCA0867,7155,7027,0.796531561,1.02,0.9821
VC0392,21601,21345,0.047387468,1.01,0.9881
VC0980,7822,7732,0.933689012,1.01,0.9886
VC1018,2066,2044,0.947797064,1.01,0.9896
VC1305,11736,11627,0.557012224,1.01,0.9908
VC1550,8501,8408,0.934576866,1.01,0.9891
VC1957,3867,3842,0.987226126,1.01,0.9936
VC2210,10252,10135,0.977516148,1.01,0.9886
VC2236,19039,18768,0.930378464,1.01,0.9857
VCA0354,10490,10378,0.518365242,1.01,0.9893
VCA0369,11846,11749,0.992348952,1.01,0.9917
VCA0370,8198,8119,0.96346385,1.01,0.9904
VCA1074,6617,6525,0.959706301,1.01,0.986
VCA1107,9251,9190,0.982632958,1.01,0.9934
VC0486,9955,9918,0.991417154,1,0.9963
VC0694,14522,14564,0.967791608,1,1.0029
VC0924,11981,12008,0.984692113,1,1.0022
VC1091,18314,18385,0.866533482,1,1.0039
VC1287,4225,4238,0.969207827,1,1.0029
VC1415,6615,6623,0.453908844,1,1.0012
VC1595,8897,8856,0.992803071,1,0.9954
VC1701,20152,20056,0.98729849,1,0.9953
VC2005,6637,6621,0.639402039,1,0.9975
VC2280,7456,7461,0.799548706,1,1.0006
VC2310,21578,21530,0.992877,1,0.9978
VC2333,4288,4274,0.989376174,1,0.9969
VCA0135,14824,14898,0.925774893,1,1.005
VCA0156,15077,15012,0.990505176,1,0.9957
VCA0239,10027,10016,0.99442081,1,0.9989
VCA0280,9587,9603,0.970564408,1,1.0016
VCA0521,14072,14131,0.501850268,1,1.0043
VCA0833,9782,9771,0.99310562,1,0.9989
VCA1030,10952,10931,0.995329675,1,0.9981
VCA1087,4174,4184,0.964795996,1,1.0024
VC0757,11195,11267,0.921545393,0.99,1.0064
VC1041,10956,11091,0.940038519,0.99,1.0124
VC1083,10878,11037,0.889370805,0.99,1.0145
VC1276,5921,5961,0.859279462,0.99,1.0067
VC1425,6118,6179,0.947999449,0.99,1.0099
VCA0960,10168,10222,0.513433359,0.99,1.0053
VC0060,12542,12850,0.09503782,0.98,1.0246
VC0504,8434,8617,0.777935026,0.98,1.0217
VC0740,16040,16386,0.844976458,0.98,1.0215
VC0827,10642,10826,0.854793655,0.98,1.0173
VC0910,10207,10389,0.892199042,0.98,1.0178
VC1329,6778,6895,0.879099112,0.98,1.0173
VC1467,16411,16708,0.960969697,0.98,1.0181
VC1605,6988,7101,0.308731333,0.98,1.0161
VC1759,9058,9204,0.845098906,0.98,1.0161
VC1838,6209,6310,0.549088509,0.98,1.0163
VC2432,9187,9404,0.467047771,0.98,1.0236
VC2632,7869,8041,0.921300363,0.98,1.0217
VC2706,15809,16210,0.310363467,0.98,1.0254
VCA0260,11975,12199,0.231585206,0.98,1.0188
VCA0688,6922,7072,0.686381095,0.98,1.0217
VCA1041,14231,14595,0.536196577,0.98,1.0256
VC0050,22882,23568,0.892691851,0.97,1.03
VC0267,4739,4884,0.872721748,0.97,1.0304
VC0636,12941,13275,0.873516379,0.97,1.0258
VC1086,26783,27583,0.658071931,0.97,1.0299
VC1318,6949,7198,0.605506238,0.97,1.0359
VC1560,9463,9783,0.696324005,0.97,1.0338
VC1856,9777,10095,0.912063196,0.97,1.0325
VC2221,7941,8182,0.926317918,0.97,1.0304
VC2222,18391,18998,0.846193689,0.97,1.033
VCA0173,7865,8139,0.508021586,0.97,1.0348
VCA0219,5520,5687,0.944491589,0.97,1.0302
VCA0254,12404,12811,0.8564963,0.97,1.0328
VCA0378,7036,7288,0.86585658,0.97,1.0358
VCA0458,7627,7882,0.856284251,0.97,1.0335
VCA0621,11643,12061,0.707079253,0.97,1.0359
VCA0629,9414,9733,0.203137895,0.97,1.0339
VCA1011,17973,18477,0.822830013,0.97,1.028
VC0658,13853,14413,0.878970166,0.96,1.0404
VC0695,16227,16938,0.734163287,0.96,1.0438
VC0729,10500,10913,0.709487849,0.96,1.0394
VC1393,1079,1126,0.732608823,0.96,1.0434
VC1702,5385,5608,0.899091695,0.96,1.0414
VC2033,8833,9175,0.430725354,0.96,1.0388
VC2145,15471,16172,0.012662238,0.96,1.0453
VC2565,16614,17317,0.625810417,0.96,1.0423
VC2691,15792,16429,0.560664274,0.96,1.0403
VC2716,12838,13403,0.847059118,0.96,1.044
VCA0071,158,164,0.14826559,0.96,1.0365
VCA0228,11050,11564,0.765608024,0.96,1.0465
VCA0391,13801,14437,0.100574658,0.96,1.0461
VCA0517,1566,1629,0.725147293,0.96,1.0403
VCA0635,11812,12252,0.739301383,0.96,1.0372
VC0268,16002,16797,0.141181681,0.95,1.0497
VC0474,16547,17329,0.87190535,0.95,1.0472
VC0672,7269,7658,0.076321524,0.95,1.0534
VC1403,12399,13070,0.399966392,0.95,1.0541
VC1563,9269,9787,0.365359343,0.95,1.0558
VC1991,6912,7306,0.328971063,0.95,1.057
VC2176,9834,10327,0.724018725,0.95,1.0501
VC2206,13798,14581,0.887009428,0.95,1.0568
VC2663,8147,8576,0.01071287,0.95,1.0526
VC2693,17916,18875,0.299889918,0.95,1.0535
VC0134,22116,23622,0.339017539,0.94,1.0681
VC0339,19803,21126,0.516218366,0.94,1.0668
VC0464,15493,16397,0.402776031,0.94,1.0583
VC0821,7800,8307,0.428809546,0.94,1.065
VC0929,5763,6119,0.308652213,0.94,1.0618
VCA0080,5477,5857,0.442389093,0.94,1.0695
VCA0206,9829,10454,0.301640794,0.94,1.0635
VCA0224,5096,5442,0.343299734,0.94,1.0679
VCA0292,6847,7262,0.589397833,0.94,1.0606
VCA0767,14575,15487,0.759395542,0.94,1.0625
VCA0878,9186,9821,0.458781647,0.94,1.0691
VC0141,7656,8268,0.704778244,0.93,1.08
VC0335,14264,15364,0.447487793,0.93,1.0771
VC1216,14589,15608,0.000586787,0.93,1.0698
VC2061,12549,13478,0.974000975,0.93,1.074
VC2422,15551,16644,0.777704781,0.93,1.0703
VCA0063,19521,21092,0.329572838,0.93,1.0805
VCA0954,9075,9748,0.004547695,0.93,1.0742
VC0844,7773,8492,0.486639043,0.92,1.0925
VC0871,6768,7373,0.310138527,0.92,1.0893
VC0906,16257,17649,0.633662253,0.92,1.0856
VC0968,3384,3660,0.469840087,0.92,1.0816
VC1723,2843,3088,0.77135383,0.92,1.0864
VC2264,14876,16090,0.251465421,0.92,1.0816
VCA0140,9795,10635,0.480565924,0.92,1.0857
VCA0199,4946,5404,0.441748543,0.92,1.0925
VCA0824,12370,13485,0.357539218,0.92,1.0901
VCA1002,13239,14384,0.007056856,0.92,1.0865
VCA1100,4124,4475,0.711083764,0.92,1.0851
VC1081,15085,16570,0.484628432,0.91,1.0985
VC1189,6969,7623,0.336788029,0.91,1.0939
VC1260,14075,15448,0.764628132,0.91,1.0976
VC1578,6712,7390,0.314022532,0.91,1.1009
VC1674,3802,4164,0.608901307,0.91,1.0953
VC1762,7520,8249,0.178593029,0.91,1.0968
VC1842,12463,13681,0.418783111,0.91,1.0978
VC2263,5873,6448,0.415610809,0.91,1.0979
VC2302,12390,13667,0.351987183,0.91,1.103
VC2464,11084,12210,0.177800541,0.91,1.1016
VC2490,16361,18006,0.249585752,0.91,1.1006
VC2564,9895,10892,0.380235397,0.91,1.1008
VCA0204,9640,10583,0.500191857,0.91,1.0978
VCA0685,7426,8172,0.25255646,0.91,1.1004
VCA0858,9978,11018,0.072579133,0.91,1.1042
VCA1017,7291,7996,0.550231895,0.91,1.0968
VCA1078,11873,12988,0.761268612,0.91,1.0939
VC0038,13975,15563,0.798059233,0.9,1.1136
VC0635,7485,8301,0.000519556,0.9,1.109
VC0722,12687,14132,0.416786823,0.9,1.1139
VC0913,16457,18187,0.805818196,0.9,1.1051
VC1015,12900,14295,0.002781049,0.9,1.1081
VC1339,11062,12253,0.474953212,0.9,1.1077
VC1345,6405,7084,0.453451721,0.9,1.1061
VC1378,9408,10508,0.581678005,0.9,1.1168
VC1869,11093,12393,0.198537953,0.9,1.1171
VC1953,6409,7155,0.334928421,0.9,1.1164
VC2062,5316,5910,0.095507297,0.9,1.1117
VC2076,18535,20620,0.539475813,0.9,1.1125
VC2232,7399,8184,0.003066965,0.9,1.1062
VC2530,5383,5999,0.863730893,0.9,1.1145
VC2699,11589,12864,0.311948109,0.9,1.11
VC2739,13368,14791,0.165459142,0.9,1.1065
VCA0733,3993,4433,0.363490457,0.9,1.1103
VCA0964,24178,26833,0.261196157,0.9,1.1098
VCA1007,5696,6327,0.050421294,0.9,1.1107
VC1428,2269,2562,0.26888054,0.89,1.1291
VC1602,7423,8378,0.040360323,0.89,1.1286
VC1804,8624,9685,0.516275419,0.89,1.1231
VC1860,9418,10623,0.254065735,0.89,1.1279
VC2010,10185,11495,0.168006985,0.89,1.1286
VC2695,8864,9916,0.112188555,0.89,1.1186
VC2772,13756,15406,0.639867183,0.89,1.1199
VCA0148,8269,9258,0.034492493,0.89,1.1195
VCA0397,7507,8465,0.450225946,0.89,1.1276
VCA0401,11116,12486,0.293469527,0.89,1.1232
VCA0443,4647,5207,0.265265231,0.89,1.1207
VCA0500,11760,13179,0.235457517,0.89,1.1206
VCA0756,9955,11139,0.240239277,0.89,1.119
VCA1062,8149,9131,0.33838396,0.89,1.1206
VC0001,16454,18767,0.654853387,0.88,1.1406
VC1113,19484,22216,0.856238115,0.88,1.1402
VC1117,21828,24701,0.130133739,0.88,1.1316
VC1156,15021,17096,0.507158149,0.88,1.1381
VC1343,9904,11257,0.128200788,0.88,1.1365
VC1380,18402,20951,0.660303481,0.88,1.1385
VC1422,9097,10342,0.664444542,0.88,1.1368
VC1625,9207,10414,0.73431871,0.88,1.131
VC1855,14585,16485,0.128483487,0.88,1.1302
VC2059,12612,14321,0.459448554,0.88,1.1355
VC2717,16632,18798,0.897966114,0.88,1.1302
VCA0240,14877,16996,0.461910306,0.88,1.1424
VCA1003,9968,11282,0.34844789,0.88,1.1318
VC0410,8760,10069,0.485652671,0.87,1.1493
VC0972,10043,11568,0.588878692,0.87,1.1519
VC1182,12813,14705,0.087590187,0.87,1.1477
VC1566,13391,15370,0.447221985,0.87,1.1478
VC1743,14979,17233,0.294137896,0.87,1.1505
VCA0024,15161,17367,0.341165573,0.87,1.1455
VCA0416,8980,10282,0.001063267,0.87,1.145
VCA0730,5351,6142,0.593783123,0.87,1.1478
VCA0735,4732,5471,0.176554563,0.87,1.1561
VCA0807,7274,8328,0.449240651,0.87,1.1449
VCA0814,11060,12661,0.199704687,0.87,1.1447
VCA1012,12134,13926,0.012320596,0.87,1.1477
VC0011,14680,16996,0.142944394,0.86,1.1577
VC0030,21707,25226,0.607749748,0.86,1.1621
VC0097,5432,6287,0.0659604,0.86,1.1574
VC0348,12984,15058,0.1245315,0.86,1.1598
VC0737,21061,24445,0.69239537,0.86,1.1607
VC0982,9404,10995,0.200553959,0.86,1.1693
VC1252,8601,10040,0.001742326,0.86,1.1672
VC1614,9833,11457,0.412656326,0.86,1.1651
VC1670,11228,13020,0.655814231,0.86,1.1596
VC2403,5569,6468,0.435416363,0.86,1.1615
VC2479,17402,20279,0.070769615,0.86,1.1653
VCA0072,14831,17312,0.203479604,0.86,1.1673
VCA0136,15364,17842,0.652129568,0.86,1.1613
VCA0151,5781,6695,0.079934734,0.86,1.1581
VCA0167,18067,20918,0.804663097,0.86,1.1578
VCA0529,6022,7007,0.271106423,0.86,1.1635
VCA0531,7400,8633,0.7938506,0.86,1.1666
VCA0856,14015,16276,0.53381197,0.86,1.1613
VCA0859,8653,10044,0.203265408,0.86,1.1607
VCA0862,16029,18660,0.108216895,0.86,1.1642
VCA0992,18172,21054,0.880689216,0.86,1.1586
VC0378,6135,7236,0.316855814,0.85,1.1796
VC0383,14700,17322,0.621323449,0.85,1.1783
VC0449,25189,29744,0.528288887,0.85,1.1808
VC0454,12256,14433,0.187306519,0.85,1.1776
VC0905,8284,9749,0.05312311,0.85,1.1769
VC2027,17491,20608,0.322293761,0.85,1.1782
VC2338,15203,17872,0.429277465,0.85,1.1755
VC2622,14691,17321,0.14797014,0.85,1.179
VC2664,13321,15588,0.11587512,0.85,1.1702
VCA0271,7196,8452,0.398164606,0.85,1.1744
VCA0319,12406,14630,0.021795477,0.85,1.1793
VCA0792,7738,9134,0.032837653,0.85,1.1804
VCA0944,12800,15104,0.405955745,0.85,1.18
VCA0972,4162,4869,0.235554379,0.85,1.1699
VC0009,11449,13609,0.181888032,0.84,1.1886
VC0103,11018,13081,0.36965738,0.84,1.1872
VC0394,23668,28038,0.119414416,0.84,1.1846
VC0607,15249,18071,0.319426216,0.84,1.1851
VC0654,10055,11905,0.000232164,0.84,1.184
VC0769,14381,17153,0.148211515,0.84,1.1928
VC1272,1251,1493,0.181327845,0.84,1.1936
VC1477,13144,15726,0.481151807,0.84,1.1964
VC1505,11742,13904,0.129761294,0.84,1.1841
VC1647,10395,12346,0.027883333,0.84,1.1877
VC1747,4476,5329,0.352763861,0.84,1.1905
VC1779,9549,11307,0.027855673,0.84,1.1841
VC2303,16621,19796,0.010762023,0.84,1.191
VC2357,9497,11247,0.004379531,0.84,1.1843
VCA0227,10192,12088,0.150188154,0.84,1.1861
VCA0359,10466,12487,0.060332108,0.84,1.1931
VCA0803,6504,7759,0.12250962,0.84,1.193
VCA0963,11345,13487,0.298083413,0.84,1.1888
VCA1073,20456,24375,0.623127982,0.84,1.1916
VC0140,15457,18695,0.509343734,0.83,1.2095
VC0182,6122,7360,0.052524572,0.83,1.2023
VC0235,9538,11533,0.223433119,0.83,1.2092
VC0300,22393,26884,0.030112903,0.83,1.2006
VC0305,23160,28026,0.206462595,0.83,1.2101
VC0467,21038,25340,0.092335292,0.83,1.2045
VC0778,14045,17019,0.010141683,0.83,1.2118
VC0903,12009,14399,0.161044804,0.83,1.199
VC0920,9794,11834,0.001687134,0.83,1.2082
VC1653,7678,9239,0.032406059,0.83,1.2034
VC1755,10395,12531,0.559661499,0.83,1.2055
VC2440,11911,14276,0.18579396,0.83,1.1986
VC2607,10816,13100,0.107980472,0.83,1.2111
VCA0221,9822,11893,0.444530416,0.83,1.2109
VCA0252,5454,6548,0.062606402,0.83,1.2006
VC0115,14174,17210,0.050285658,0.82,1.2142
VC0603,25238,30894,1.97882E-06,0.82,1.2241
VC0659,11825,14389,0.222155876,0.82,1.2168
VC0865,10163,12375,0.508275707,0.82,1.2176
VC1104,7214,8793,0.355873889,0.82,1.2187
VC1581,15884,19336,0.306893491,0.82,1.2173
VC1672,5987,7317,0.527231993,0.82,1.222
VC1741,6412,7852,0.126337681,0.82,1.2246
VC1827,10731,13148,2.94591E-05,0.82,1.2252
VC2123,3357,4091,0.719549068,0.82,1.2188
VC2371,18693,22781,0.107523145,0.82,1.2187
VC2374,13656,16605,0.458260571,0.82,1.216
VC2747,13599,16514,0.005986436,0.82,1.2143
VCA0361,8420,10244,0.256596806,0.82,1.2166
VCA0423,8798,10705,0.09284866,0.82,1.2168
VCA0532,4114,4996,0.010173206,0.82,1.2143
VCA0589,6101,7427,0.099410123,0.82,1.2172
VCA0615,9925,12079,0.6846777,0.82,1.2169
VCA0648,10999,13344,0.08397804,0.82,1.2133
VCA0719,8058,9771,0.162347412,0.82,1.2127
VC0054,29069,36050,0.348621464,0.81,1.2402
VC0064,11122,13720,0.767803866,0.81,1.2336
VC0432,15367,19038,0.428461809,0.81,1.2388
VC0552,396,492,0.125481165,0.81,1.2412
VC0934,8258,10144,0.124054983,0.81,1.2284
VC1033,14741,18220,0.008620756,0.81,1.236
VC1426,5665,6984,0.486320661,0.81,1.2328
VC1463,2984,3693,0.383288619,0.81,1.2373
VC1567,16935,21037,0.066997401,0.81,1.2422
VC1572,4832,5999,0.063672489,0.81,1.2415
VC1660,5569,6913,0.061476189,0.81,1.2412
VC1794,7153,8859,0.038821763,0.81,1.2385
VC1893,17584,21835,0.101643025,0.81,1.2417
VC1896,7829,9677,0.138908108,0.81,1.236
VC2134,5025,6171,0.391189603,0.81,1.2282
VC2284,10171,12569,0.333486302,0.81,1.2357
VC2487,6993,8599,0.019835883,0.81,1.2296
VC2494,25376,31308,0.064408126,0.81,1.2338
VCA0036,7692,9463,0.500601536,0.81,1.2302
VCA0246,6585,8114,0.039273578,0.81,1.2323
VCA0491,5915,7315,0.008171212,0.81,1.2368
VC0135,20686,25976,0.309682952,0.8,1.2557
VC0145,13711,17208,0.376682235,0.8,1.2551
VC0299,15751,19802,0.198445107,0.8,1.2572
VC0475,18088,22600,0.15421814,0.8,1.2495
VC1429,3990,5008,0.001680883,0.8,1.2551
VC1606,1857,2333,0.413682782,0.8,1.2567
VC1834,7578,9482,0.029949204,0.8,1.2513
VC2029,6242,7837,0.040294207,0.8,1.2555
VC2439,12093,15134,0.080480814,0.8,1.2515
VC2774,8669,10904,0.255035452,0.8,1.2578
VCA0094,5836,7312,0.671951535,0.8,1.2529
VCA0278,12913,16100,0.147077058,0.8,1.2468
VCA0690,11229,13968,0.025567654,0.8,1.2439
VCA0922,10001,12436,0.259546514,0.8,1.2434
VCA0978,10141,12712,0.014859101,0.8,1.2536
VC0057,16265,20667,0.056885937,0.79,1.2706
VC0144,10062,12738,0.017195824,0.79,1.266
VC0157,14743,18668,0.066030309,0.79,1.2662
VC0303,23381,29702,0.216661083,0.79,1.2703
VC0622,11419,14535,0.281333281,0.79,1.2729
VC0799,13262,16879,0.180115801,0.79,1.2727
VC0880,13200,16622,0.289252542,0.79,1.2592
VC1267,18710,23558,0.004974192,0.79,1.2591
VC1273,8798,11158,0.294079601,0.79,1.2683
VC2233,11175,14208,0.439627396,0.79,1.2715
VC2366,9547,12125,0.222856975,0.79,1.27
VC2652,17934,22644,0.015558943,0.79,1.2626
VCA0101,9838,12396,0.135276215,0.79,1.26
VCA0211,5966,7573,0.008680785,0.79,1.2694
VCA0337,8941,11376,0.125818819,0.79,1.2723
VCA0732,9805,12395,4.99001E-05,0.79,1.2642
VC0065,19601,25289,0.465638187,0.78,1.2902
VC0382,7462,9563,0.038486749,0.78,1.2816
VC0456,15570,19958,0.015460753,0.78,1.2818
VC0815,9485,12107,0.10752601,0.78,1.2764
VC1010,11571,14840,0.049584749,0.78,1.2825
VC2098,15671,19984,0.055910365,0.78,1.2752
VC2104,15027,19270,0.40236313,0.78,1.2824
VC2162,13367,17242,0.007364427,0.78,1.2899
VC2612,10722,13739,0.081973748,0.78,1.2814
VC2694,12898,16588,0.04770399,0.78,1.2861
VCA0005,7276,9331,0.040326537,0.78,1.2824
VCA0601,7521,9618,0.662557096,0.78,1.2789
VCA0627,12513,16106,0.026093767,0.78,1.2872
VCA0882,4810,6141,0.075284544,0.78,1.2766
VCA0966,8998,11590,0.001972337,0.78,1.2881
VCA1072,10506,13385,0.071746096,0.78,1.274
VC0185,7242,9381,0.012010522,0.77,1.2954
VC0396,4393,5729,0.027582854,0.77,1.304
VC0583,10942,14283,0.002072865,0.77,1.3053
VC1040,10743,13927,0.134328526,0.77,1.2964
VC1320,10502,13640,0.015015889,0.77,1.2988
VC1486,5895,7625,0.093985036,0.77,1.2933
VC2297,14271,18589,0.584375448,0.77,1.3026
VC2377,21702,28233,0.997659914,0.77,1.301
VC2685,20759,26892,0.387582634,0.77,1.2954
VCA0667,5793,7527,0.01166491,0.77,1.2995
VCA1036,6989,9114,0.035160326,0.77,1.3041
VCA1080,11124,14409,0.263467245,0.77,1.2953
VCA1113,7575,9875,0.003515706,0.77,1.3037
VC0077,5682,7497,0.066287346,0.76,1.3195
VC0154,7397,9754,0.074138592,0.76,1.3186
VC0169,5193,6809,0.228918947,0.76,1.3113
VC0282,17478,23026,0.017563062,0.76,1.3174
VC0381,17599,23207,0.489690618,0.76,1.3186
VC0424,9815,12870,0.319652834,0.76,1.3113
VC0540,13539,17721,0.584382879,0.76,1.3088
VC0859,7673,10060,0.017485728,0.76,1.311
VC1116,7351,9623,1.1491E-05,0.76,1.3091
VC1313,10099,13334,0.319523247,0.76,1.3203
VC1599,8078,10634,0.373192828,0.76,1.3164
VC1825,10806,14271,0.045037451,0.76,1.3206
VC1995,15087,19958,0.593771725,0.76,1.3228
